100X KAMEHAMEHA HWY
102X KAMEHAMEHA HWY
103X KAMEHAMEHA IV RD
104X KAMEHAMEHA IV RD
106X KAMEHAMEHA HWY
10X N KAMEHAMEHA HWY
112X KAMEHAMEHA IV RD
113X KAMEHAMEHA IV RD
114X KAMEHAMEHA IV RD
11X S KAMEHAMEHA HWY
120X KAMEHAMEHA IV RD
131X KAMEHAMEHA IV RD
133X KAMEHAMEHA IV RD
134X KAMEHAMEHA IV RD
135X KAMEHAMEHA IV RD
13X S KAMEHAMEHA HWY
140X KAMEHAMEHA IV RD
141X KAMEHAMEHA IV RD
142X KAMEHAMEHA IV RD
143X KAMEHAMEHA IV RD
144X KAMEHAMEHA IV RD
145X KAMEHAMEHA IV RD
14X S KAMEHAMEHA HWY
151X KAMEHAMEHA IV RD
153X KAMEHAMEHA IV RD
155X KAMEHAMEHA IV RD
15X N KAMEHAMEHA HWY
162X KAMEHAMEHA IV RD
163X KAMEHAMEHA IV RD
165X KAMEHAMEHA IV RD
172X KAMEHAMEHA IV RD
174X KAMEHAMEHA IV RD
17X S KAMEHAMEHA HWY
180X KAMEHAMEHA IV RD
184X KAMEHAMEHA IV RD
186X KAMEHAMEHA IV RD
191X KAMEHAMEHA IV RD
192X KAMEHAMEHA IV RD
193X KAMEHAMEHA IV RD
195X KAMEHAMEHA IV RD
196X KAMEHAMEHA IV RD
1X N KAMEHAMEHA HWY
1X S KAMEHAMEHA HWY
201X KAMEHAMEHA IV RD
204X KAMEHAMEHA IV RD
20X N KAMEHAMEHA HWY
20X S KAMEHAMEHA HWY
210X KAMEHAMEHA HWY
214X KAMEHAMEHA HWY
217X KAMEHAMEHA HWY
218X KAMEHAMEHA HWY
219X KAMEHAMEHA HWY
220X KAMEHAMEHA HWY
222X KAMEHAMEHA HWY
224X KAMEHAMEHA HWY
226X KAMEHAMEHA HWY
227X KAMEHAMEHA HWY
230X KAMEHAMEHA HWY
231X KAMEHAMEHA HW / PEDESTRIANS
231X KAMEHAMEHA HWY
232X KAMEHAMEHA HWY
233X KAMEHAMEHA HWY
2X N KAMEHAMEHA HWY
2X S KAMEHAMEHA HWY
30X S KAMEHAMEHA HWY
31X KAMEHAMEHA HWY
35X KAMEHAMEHA HWY
37X KAMEHAMEHA HWY
38X KAMEHAMEHA HWY
3X S KAMEHAMEHA HWY
40X KAMEHAMEHA HWY
42X KAMEHAMEHA HWY
43X KAMEHAMEHA HWY
45004X KAMEHAMEHA HWY
45005X KAMEHAMEHA HWY
45006X KAMEHAMEHA HWY
45034X KAMEHAMEHA HWY
45038X KAMEHAMEHA HWY
45042X KAMEHAMEHA HWY
45048X KAMEHAMEHA HWY
45049X KAMEHAMEHA HWY
45054X KAMEHAMEHA HWY
45055X KAMEHAMEHA HWY
45056X KAMEHAMEHA HWY
45058X KAMEHAMEHA HWY
45059X KAMEHAMEHA HWY
45060X KAMEHAMEHA HWY
45061X KAMEHAMEHA HWY
45062X KAMEHAMEHA HWY
45063X KAMEHAMEHA HWY
45065X KAMEHAMEHA HWY
45066X KAMEHAMEHA HWY
45067X KAMEHAMEHA HWY
45068X KAMEHAMEHA HWY
45069X KAMEHAMEHA HWY
45070X KAMEHAMEHA HWY
45071X KAMEHAMEHA HWY
45072X KAMEHAMEHA HWY
45073X KAMEHAMEHA HWY
45074X KAMEHAMEHA HWY
45076X KAMEHAMEHA HWY
45077X KAMEHAMEHA HWY
45078X KAMEHAMEHA HWY
45082X KAMEHAMEHA HWY
45086X KAMEHAMEHA HWY
45091X KAMEHAMEHA HWY
45093X KAMEHAMEHA HWY
45095X KAMEHAMEHA HWY
